id;nombres;edad;notas
3432;nombre 3432;10;11
3433;nombre 3433;18;5
3434;nombre 3434;19;20
3435;nombre 3435;15;17
3436;nombre 3436;11;4
3437;nombre 3437;17;17
3438;nombre 3438;10;16
3439;nombre 3439;10;4
3440;nombre 3440;19;6
3441;nombre 3441;11;12
3442;nombre 3442;18;15
3443;nombre 3443;10;10
3444;nombre 3444;17;10
3445;nombre 3445;15;18
3446;nombre 3446;11;19
3447;nombre 3447;20;11
3448;nombre 3448;14;4
3449;nombre 3449;14;0
3450;nombre 3450;19;12
3451;nombre 3451;13;10
3452;nombre 3452;11;13
3453;nombre 3453;18;4
3454;nombre 3454;20;1
3455;nombre 3455;20;7
3456;nombre 3456;14;2
3457;nombre 3457;19;11
3458;nombre 3458;20;0
3459;nombre 3459;19;15
3460;nombre 3460;13;7
3461;nombre 3461;19;6
3462;nombre 3462;13;20
3463;nombre 3463;15;19
3464;nombre 3464;12;0
3465;nombre 3465;16;17
3466;nombre 3466;18;18
3467;nombre 3467;20;14
3468;nombre 3468;15;3
3469;nombre 3469;15;11
3470;nombre 3470;10;18
3471;nombre 3471;16;14
3472;nombre 3472;11;19
3473;nombre 3473;19;13
3474;nombre 3474;20;1
3475;nombre 3475;13;2
3476;nombre 3476;20;8
3477;nombre 3477;14;12
3478;nombre 3478;12;0
3479;nombre 3479;14;20
3480;nombre 3480;15;11
3481;nombre 3481;10;7
3482;nombre 3482;15;8
3483;nombre 3483;13;20
3484;nombre 3484;13;18
3485;nombre 3485;20;6
3486;nombre 3486;17;14
3487;nombre 3487;11;7
3488;nombre 3488;20;7
3489;nombre 3489;11;15
3490;nombre 3490;10;7
3491;nombre 3491;20;2
3492;nombre 3492;17;12
3493;nombre 3493;20;8
3494;nombre 3494;16;18
3495;nombre 3495;15;14
3496;nombre 3496;13;10
3497;nombre 3497;12;6
3498;nombre 3498;12;18
3499;nombre 3499;13;5
3500;nombre 3500;17;17
3501;nombre 3501;20;2
3502;nombre 3502;15;19
3503;nombre 3503;17;7
3504;nombre 3504;16;17
3505;nombre 3505;16;0
3506;nombre 3506;10;18
3507;nombre 3507;20;7
3508;nombre 3508;10;15
3509;nombre 3509;17;11
3510;nombre 3510;13;19
3511;nombre 3511;16;6
3512;nombre 3512;10;9
3513;nombre 3513;12;6
3514;nombre 3514;15;2
3515;nombre 3515;17;7
3516;nombre 3516;10;4
3517;nombre 3517;16;0
3518;nombre 3518;11;6
3519;nombre 3519;20;13
3520;nombre 3520;20;15
3521;nombre 3521;11;16
3522;nombre 3522;18;5
3523;nombre 3523;20;17
3524;nombre 3524;19;2
3525;nombre 3525;20;19
3526;nombre 3526;17;13
3527;nombre 3527;16;6
3528;nombre 3528;10;3
3529;nombre 3529;19;5
3530;nombre 3530;16;15
3531;nombre 3531;11;14
3532;nombre 3532;19;17
3533;nombre 3533;14;0
3534;nombre 3534;11;6
3535;nombre 3535;19;6
3536;nombre 3536;12;12
3537;nombre 3537;16;20
3538;nombre 3538;18;20
3539;nombre 3539;11;13
3540;nombre 3540;17;10
3541;nombre 3541;14;7
3542;nombre 3542;12;7
3543;nombre 3543;12;0
3544;nombre 3544;18;13
3545;nombre 3545;11;4
3546;nombre 3546;14;16
3547;nombre 3547;16;20
3548;nombre 3548;13;9
3549;nombre 3549;15;15
3550;nombre 3550;18;13
3551;nombre 3551;19;9
3552;nombre 3552;17;16
3553;nombre 3553;11;18
3554;nombre 3554;17;8
3555;nombre 3555;13;6
3556;nombre 3556;10;5
3557;nombre 3557;14;4
3558;nombre 3558;11;0
3559;nombre 3559;17;14
3560;nombre 3560;12;5
3561;nombre 3561;20;2
3562;nombre 3562;15;12
3563;nombre 3563;18;6
3564;nombre 3564;17;20
3565;nombre 3565;10;7
3566;nombre 3566;15;2
3567;nombre 3567;17;6
3568;nombre 3568;17;13
3569;nombre 3569;16;6
3570;nombre 3570;11;14
3571;nombre 3571;17;20
3572;nombre 3572;13;1
3573;nombre 3573;18;12
3574;nombre 3574;12;0
3575;nombre 3575;10;5
3576;nombre 3576;15;18
3577;nombre 3577;18;15
3578;nombre 3578;16;17
3579;nombre 3579;16;8
3580;nombre 3580;16;2
3581;nombre 3581;15;13
3582;nombre 3582;15;1
3583;nombre 3583;20;10
3584;nombre 3584;20;9
3585;nombre 3585;19;2
3586;nombre 3586;12;16
3587;nombre 3587;15;6
3588;nombre 3588;18;11
3589;nombre 3589;16;1
3590;nombre 3590;15;18
3591;nombre 3591;14;9
3592;nombre 3592;13;8
3593;nombre 3593;19;15
3594;nombre 3594;13;8
3595;nombre 3595;13;15
3596;nombre 3596;20;13
3597;nombre 3597;14;4
3598;nombre 3598;19;6
3599;nombre 3599;17;7
3600;nombre 3600;15;14
3601;nombre 3601;13;4
3602;nombre 3602;17;4
3603;nombre 3603;10;3
3604;nombre 3604;12;0
3605;nombre 3605;10;13
3606;nombre 3606;17;4
3607;nombre 3607;12;5
3608;nombre 3608;16;20
3609;nombre 3609;18;15
3610;nombre 3610;13;12
3611;nombre 3611;13;15
3612;nombre 3612;18;8
3613;nombre 3613;14;19
3614;nombre 3614;18;16
3615;nombre 3615;10;20
3616;nombre 3616;18;4
3617;nombre 3617;16;10
3618;nombre 3618;18;20
3619;nombre 3619;15;4
3620;nombre 3620;19;11
3621;nombre 3621;13;11
3622;nombre 3622;10;12
3623;nombre 3623;19;20
3624;nombre 3624;13;12
3625;nombre 3625;10;19
3626;nombre 3626;18;12
3627;nombre 3627;20;17
3628;nombre 3628;20;7
3629;nombre 3629;17;12
3630;nombre 3630;17;7
3631;nombre 3631;20;6
3632;nombre 3632;18;18
3633;nombre 3633;18;6
3634;nombre 3634;16;19
3635;nombre 3635;19;4
3636;nombre 3636;15;10
3637;nombre 3637;16;16
3638;nombre 3638;12;0
3639;nombre 3639;16;16
3640;nombre 3640;15;12
3641;nombre 3641;19;4
3642;nombre 3642;18;3
3643;nombre 3643;19;12
3644;nombre 3644;17;9
3645;nombre 3645;20;7
3646;nombre 3646;12;16
3647;nombre 3647;11;13
3648;nombre 3648;18;6
3649;nombre 3649;20;9
3650;nombre 3650;18;2
3651;nombre 3651;14;14
3652;nombre 3652;20;11
3653;nombre 3653;11;15
3654;nombre 3654;17;5
3655;nombre 3655;15;12
3656;nombre 3656;16;12
3657;nombre 3657;12;3
3658;nombre 3658;13;6
3659;nombre 3659;14;14
3660;nombre 3660;20;12
3661;nombre 3661;15;18
3662;nombre 3662;11;6
3663;nombre 3663;18;12
3664;nombre 3664;14;17
3665;nombre 3665;10;13
3666;nombre 3666;10;4
3667;nombre 3667;12;4
3668;nombre 3668;12;13
3669;nombre 3669;10;5
3670;nombre 3670;14;12
3671;nombre 3671;13;0
3672;nombre 3672;19;7
3673;nombre 3673;20;3
3674;nombre 3674;17;15
3675;nombre 3675;19;1
3676;nombre 3676;12;10
3677;nombre 3677;15;2
3678;nombre 3678;16;10
3679;nombre 3679;17;3
3680;nombre 3680;20;4
3681;nombre 3681;19;7
3682;nombre 3682;20;11
3683;nombre 3683;14;2
3684;nombre 3684;20;11
3685;nombre 3685;15;11
3686;nombre 3686;20;4
3687;nombre 3687;17;19
3688;nombre 3688;11;6
3689;nombre 3689;11;12
3690;nombre 3690;13;8
3691;nombre 3691;18;12
3692;nombre 3692;15;10
3693;nombre 3693;13;10
3694;nombre 3694;11;20
3695;nombre 3695;18;10
3696;nombre 3696;16;13
3697;nombre 3697;17;3
3698;nombre 3698;10;5
3699;nombre 3699;13;19
3700;nombre 3700;11;13
3701;nombre 3701;17;20
3702;nombre 3702;14;11
3703;nombre 3703;11;17
3704;nombre 3704;13;10
3705;nombre 3705;20;17
3706;nombre 3706;14;1
3707;nombre 3707;14;14
3708;nombre 3708;14;14
3709;nombre 3709;12;7
3710;nombre 3710;14;20
3711;nombre 3711;19;6
3712;nombre 3712;16;13
3713;nombre 3713;13;13
3714;nombre 3714;17;16
3715;nombre 3715;14;8
3716;nombre 3716;16;11
3717;nombre 3717;12;16
3718;nombre 3718;19;12
3719;nombre 3719;18;18
3720;nombre 3720;18;4
3721;nombre 3721;18;0
3722;nombre 3722;19;0
3723;nombre 3723;20;12
3724;nombre 3724;10;13
3725;nombre 3725;20;20
3726;nombre 3726;13;5
3727;nombre 3727;19;5
3728;nombre 3728;14;17
3729;nombre 3729;15;14
3730;nombre 3730;18;6
3731;nombre 3731;13;15
3732;nombre 3732;17;9
3733;nombre 3733;12;20
3734;nombre 3734;13;13
3735;nombre 3735;20;15
3736;nombre 3736;12;17
3737;nombre 3737;20;15
3738;nombre 3738;18;11
3739;nombre 3739;13;18
3740;nombre 3740;18;1
3741;nombre 3741;13;12
3742;nombre 3742;10;7
3743;nombre 3743;20;20
3744;nombre 3744;17;10
3745;nombre 3745;20;6
3746;nombre 3746;13;4
3747;nombre 3747;12;16
3748;nombre 3748;17;14
3749;nombre 3749;11;11
3750;nombre 3750;11;9
3751;nombre 3751;15;6
3752;nombre 3752;15;8
3753;nombre 3753;19;9
3754;nombre 3754;17;0
3755;nombre 3755;16;4
3756;nombre 3756;15;20
3757;nombre 3757;11;16
3758;nombre 3758;15;14
3759;nombre 3759;12;4
3760;nombre 3760;14;19
3761;nombre 3761;11;11
3762;nombre 3762;13;4
3763;nombre 3763;18;0
3764;nombre 3764;11;8
3765;nombre 3765;13;6
3766;nombre 3766;18;6
3767;nombre 3767;14;11
3768;nombre 3768;11;6
3769;nombre 3769;20;10
3770;nombre 3770;19;16
3771;nombre 3771;17;13
3772;nombre 3772;19;0
3773;nombre 3773;16;2
3774;nombre 3774;18;20
3775;nombre 3775;18;2
3776;nombre 3776;19;4
3777;nombre 3777;18;8
3778;nombre 3778;11;2
3779;nombre 3779;12;0
3780;nombre 3780;11;13
3781;nombre 3781;10;10
3782;nombre 3782;16;12
3783;nombre 3783;15;7
3784;nombre 3784;10;10
3785;nombre 3785;16;10
3786;nombre 3786;20;8
3787;nombre 3787;11;10
3788;nombre 3788;12;10
3789;nombre 3789;18;6
3790;nombre 3790;17;5
3791;nombre 3791;11;3
3792;nombre 3792;17;3
3793;nombre 3793;14;7
3794;nombre 3794;15;6
3795;nombre 3795;18;5
3796;nombre 3796;15;15
3797;nombre 3797;10;14
3798;nombre 3798;12;7
3799;nombre 3799;15;8
3800;nombre 3800;11;13
3801;nombre 3801;15;5
3802;nombre 3802;17;3
3803;nombre 3803;12;19
3804;nombre 3804;15;3
3805;nombre 3805;18;7
3806;nombre 3806;12;14
3807;nombre 3807;13;5
3808;nombre 3808;18;14
3809;nombre 3809;11;4
3810;nombre 3810;17;8
3811;nombre 3811;18;9
3812;nombre 3812;17;19
3813;nombre 3813;12;20
3814;nombre 3814;17;9
3815;nombre 3815;19;9
3816;nombre 3816;10;17
3817;nombre 3817;13;6
3818;nombre 3818;11;11
3819;nombre 3819;10;4
3820;nombre 3820;20;5
3821;nombre 3821;10;20
3822;nombre 3822;11;9
3823;nombre 3823;17;16
3824;nombre 3824;17;9
3825;nombre 3825;11;12
3826;nombre 3826;14;16
3827;nombre 3827;15;17
3828;nombre 3828;11;12
3829;nombre 3829;15;20
3830;nombre 3830;10;10
3831;nombre 3831;18;11
3832;nombre 3832;20;10
3833;nombre 3833;18;7
3834;nombre 3834;19;20
3835;nombre 3835;10;13
3836;nombre 3836;12;20
3837;nombre 3837;15;9
3838;nombre 3838;17;16
3839;nombre 3839;20;1
3840;nombre 3840;12;13
3841;nombre 3841;12;19
3842;nombre 3842;15;20
3843;nombre 3843;11;7
3844;nombre 3844;16;15
3845;nombre 3845;13;14
3846;nombre 3846;12;20
3847;nombre 3847;14;15
3848;nombre 3848;11;12
3849;nombre 3849;17;2
3850;nombre 3850;12;11
3851;nombre 3851;15;7
3852;nombre 3852;18;3
3853;nombre 3853;19;15
3854;nombre 3854;15;9
3855;nombre 3855;14;9
3856;nombre 3856;10;15
3857;nombre 3857;15;16
3858;nombre 3858;13;19
3859;nombre 3859;10;6
3860;nombre 3860;18;3
3861;nombre 3861;14;5
3862;nombre 3862;19;19
3863;nombre 3863;11;9
3864;nombre 3864;12;16
3865;nombre 3865;18;12
3866;nombre 3866;13;2
3867;nombre 3867;18;7
3868;nombre 3868;19;4
3869;nombre 3869;19;7
3870;nombre 3870;17;6
3871;nombre 3871;12;12
3872;nombre 3872;13;17
3873;nombre 3873;18;10
3874;nombre 3874;10;15
3875;nombre 3875;20;16
3876;nombre 3876;19;3
3877;nombre 3877;18;17
3878;nombre 3878;16;0
3879;nombre 3879;19;8
3880;nombre 3880;11;15
3881;nombre 3881;10;5
3882;nombre 3882;15;10
3883;nombre 3883;15;6
3884;nombre 3884;11;13
3885;nombre 3885;19;1
3886;nombre 3886;11;4
3887;nombre 3887;18;12
3888;nombre 3888;14;14
3889;nombre 3889;15;12
3890;nombre 3890;20;8
3891;nombre 3891;15;0
3892;nombre 3892;20;18
3893;nombre 3893;14;13
3894;nombre 3894;11;1
3895;nombre 3895;19;4
3896;nombre 3896;11;14
3897;nombre 3897;17;3
3898;nombre 3898;16;0
3899;nombre 3899;13;11
3900;nombre 3900;11;15
3901;nombre 3901;20;14
3902;nombre 3902;13;9
3903;nombre 3903;12;14
3904;nombre 3904;20;6
3905;nombre 3905;18;0
3906;nombre 3906;20;19
3907;nombre 3907;20;1
3908;nombre 3908;12;8
3909;nombre 3909;15;0
3910;nombre 3910;10;16
3911;nombre 3911;10;3
3912;nombre 3912;13;8
3913;nombre 3913;20;5
3914;nombre 3914;14;10
3915;nombre 3915;12;10
3916;nombre 3916;19;15
3917;nombre 3917;19;5
3918;nombre 3918;18;9
3919;nombre 3919;12;7
3920;nombre 3920;15;0
3921;nombre 3921;15;15
3922;nombre 3922;12;3
3923;nombre 3923;18;17
3924;nombre 3924;19;1
3925;nombre 3925;12;19
3926;nombre 3926;15;11
3927;nombre 3927;15;7
3928;nombre 3928;16;15
3929;nombre 3929;17;14
3930;nombre 3930;12;4
3931;nombre 3931;14;20
3932;nombre 3932;13;20
3933;nombre 3933;10;0
3934;nombre 3934;13;6
3935;nombre 3935;17;11
3936;nombre 3936;18;7
3937;nombre 3937;11;8
3938;nombre 3938;14;19
3939;nombre 3939;19;2
3940;nombre 3940;19;19
3941;nombre 3941;19;4
3942;nombre 3942;14;3
3943;nombre 3943;14;6
3944;nombre 3944;12;19
3945;nombre 3945;14;2
3946;nombre 3946;19;16
3947;nombre 3947;17;9
3948;nombre 3948;18;19
3949;nombre 3949;11;17
3950;nombre 3950;15;8
3951;nombre 3951;11;13
3952;nombre 3952;20;8
3953;nombre 3953;16;13
3954;nombre 3954;14;19
3955;nombre 3955;13;16
3956;nombre 3956;16;15
3957;nombre 3957;11;5
3958;nombre 3958;20;17
3959;nombre 3959;14;6
3960;nombre 3960;16;9
3961;nombre 3961;20;3
3962;nombre 3962;17;2
3963;nombre 3963;14;3
3964;nombre 3964;12;10
3965;nombre 3965;16;3
3966;nombre 3966;10;10
3967;nombre 3967;16;5
3968;nombre 3968;12;17
3969;nombre 3969;18;15
3970;nombre 3970;15;5
3971;nombre 3971;18;18
3972;nombre 3972;10;2
3973;nombre 3973;15;12
3974;nombre 3974;15;17
3975;nombre 3975;15;10
3976;nombre 3976;14;1
3977;nombre 3977;15;13
3978;nombre 3978;14;2
3979;nombre 3979;11;7
3980;nombre 3980;18;0
3981;nombre 3981;16;3
3982;nombre 3982;13;2
3983;nombre 3983;17;9
3984;nombre 3984;15;1
3985;nombre 3985;13;9
3986;nombre 3986;18;18
3987;nombre 3987;14;8
3988;nombre 3988;19;19
3989;nombre 3989;13;7
3990;nombre 3990;14;1
3991;nombre 3991;18;9
3992;nombre 3992;15;19
3993;nombre 3993;15;8
3994;nombre 3994;15;20
3995;nombre 3995;16;0
3996;nombre 3996;11;8
3997;nombre 3997;17;12
3998;nombre 3998;12;7
3999;nombre 3999;18;5
4000;nombre 4000;14;0
4001;nombre 4001;16;18
4002;nombre 4002;17;14
4003;nombre 4003;14;20
4004;nombre 4004;16;14
4005;nombre 4005;16;20
4006;nombre 4006;16;16
4007;nombre 4007;13;1
4008;nombre 4008;18;7
4009;nombre 4009;13;4
4010;nombre 4010;19;2
4011;nombre 4011;18;2
4012;nombre 4012;16;1
4013;nombre 4013;11;15
4014;nombre 4014;10;2
4015;nombre 4015;17;9
4016;nombre 4016;11;4
4017;nombre 4017;18;2
4018;nombre 4018;12;0
4019;nombre 4019;15;14
4020;nombre 4020;12;4
4021;nombre 4021;13;10
4022;nombre 4022;14;18
4023;nombre 4023;14;12
4024;nombre 4024;13;10
4025;nombre 4025;13;15
4026;nombre 4026;20;2
4027;nombre 4027;12;8
4028;nombre 4028;11;0
4029;nombre 4029;13;15
4030;nombre 4030;18;4
4031;nombre 4031;11;2
4032;nombre 4032;13;19
4033;nombre 4033;16;5
4034;nombre 4034;12;2
4035;nombre 4035;10;7
4036;nombre 4036;15;20
4037;nombre 4037;14;4
4038;nombre 4038;15;0
4039;nombre 4039;12;18
4040;nombre 4040;20;12
4041;nombre 4041;19;10
4042;nombre 4042;19;5
4043;nombre 4043;17;3
4044;nombre 4044;12;14
4045;nombre 4045;13;10
4046;nombre 4046;10;5
4047;nombre 4047;15;20
4048;nombre 4048;17;5
4049;nombre 4049;17;1
4050;nombre 4050;15;6
4051;nombre 4051;12;17
4052;nombre 4052;16;6
4053;nombre 4053;11;17
4054;nombre 4054;13;20
4055;nombre 4055;17;0
4056;nombre 4056;13;3
4057;nombre 4057;13;14
4058;nombre 4058;19;8
4059;nombre 4059;12;8
4060;nombre 4060;14;18
4061;nombre 4061;14;4
4062;nombre 4062;17;9
4063;nombre 4063;11;0
4064;nombre 4064;16;15
4065;nombre 4065;18;1
4066;nombre 4066;17;16
4067;nombre 4067;11;2
4068;nombre 4068;14;12
4069;nombre 4069;18;3
4070;nombre 4070;14;2
4071;nombre 4071;20;14
4072;nombre 4072;14;10
4073;nombre 4073;13;19
4074;nombre 4074;12;3
4075;nombre 4075;12;7
4076;nombre 4076;18;2
4077;nombre 4077;16;17
4078;nombre 4078;15;3
4079;nombre 4079;20;17
4080;nombre 4080;10;9
4081;nombre 4081;15;5
4082;nombre 4082;13;11
4083;nombre 4083;12;14
4084;nombre 4084;10;17
4085;nombre 4085;20;7
4086;nombre 4086;12;8
4087;nombre 4087;13;8
4088;nombre 4088;18;0
4089;nombre 4089;10;11
4090;nombre 4090;17;14
4091;nombre 4091;14;4
4092;nombre 4092;13;14
4093;nombre 4093;18;2
4094;nombre 4094;18;3
4095;nombre 4095;18;20
4096;nombre 4096;12;18
4097;nombre 4097;20;16
4098;nombre 4098;13;16
4099;nombre 4099;15;7
4100;nombre 4100;14;14
4101;nombre 4101;11;11
4102;nombre 4102;17;0
4103;nombre 4103;15;12
4104;nombre 4104;12;16
4105;nombre 4105;16;4
4106;nombre 4106;20;9
4107;nombre 4107;11;16
4108;nombre 4108;16;2
4109;nombre 4109;17;19
4110;nombre 4110;18;18
4111;nombre 4111;11;0
4112;nombre 4112;10;8
4113;nombre 4113;17;6
4114;nombre 4114;13;11
4115;nombre 4115;13;9
4116;nombre 4116;11;2
4117;nombre 4117;14;2
4118;nombre 4118;20;0
4119;nombre 4119;19;4
4120;nombre 4120;10;15
4121;nombre 4121;16;6
4122;nombre 4122;14;2
4123;nombre 4123;12;9
4124;nombre 4124;13;12
4125;nombre 4125;12;4
4126;nombre 4126;18;8
4127;nombre 4127;17;17
4128;nombre 4128;15;9
4129;nombre 4129;13;2
4130;nombre 4130;12;4
4131;nombre 4131;18;7
4132;nombre 4132;20;15
4133;nombre 4133;14;5
4134;nombre 4134;16;12
4135;nombre 4135;20;6
4136;nombre 4136;18;9
4137;nombre 4137;15;4
4138;nombre 4138;11;16
4139;nombre 4139;14;17
4140;nombre 4140;12;0
4141;nombre 4141;14;18
4142;nombre 4142;16;8
4143;nombre 4143;14;9
4144;nombre 4144;12;19
4145;nombre 4145;16;19
4146;nombre 4146;17;6
4147;nombre 4147;16;11
4148;nombre 4148;15;19
4149;nombre 4149;14;11
4150;nombre 4150;18;13
4151;nombre 4151;18;4
4152;nombre 4152;19;6
4153;nombre 4153;15;5
4154;nombre 4154;16;7
4155;nombre 4155;19;4
4156;nombre 4156;10;11
4157;nombre 4157;12;11
4158;nombre 4158;19;13
4159;nombre 4159;13;17
4160;nombre 4160;17;10
4161;nombre 4161;12;16
4162;nombre 4162;15;4
4163;nombre 4163;17;5
4164;nombre 4164;10;17
4165;nombre 4165;14;4
4166;nombre 4166;18;5
4167;nombre 4167;15;16
4168;nombre 4168;18;9
4169;nombre 4169;14;17
4170;nombre 4170;12;19
4171;nombre 4171;19;18
4172;nombre 4172;14;15
4173;nombre 4173;11;16
4174;nombre 4174;10;9
4175;nombre 4175;14;6
4176;nombre 4176;11;10
4177;nombre 4177;13;2
4178;nombre 4178;17;19
4179;nombre 4179;12;14
4180;nombre 4180;18;4
4181;nombre 4181;19;3
4182;nombre 4182;17;13
4183;nombre 4183;15;5
4184;nombre 4184;18;20
4185;nombre 4185;13;18
4186;nombre 4186;13;6
4187;nombre 4187;15;19
4188;nombre 4188;10;5
4189;nombre 4189;14;12
4190;nombre 4190;17;3
4191;nombre 4191;16;0
4192;nombre 4192;12;8
4193;nombre 4193;13;2
4194;nombre 4194;11;14
4195;nombre 4195;11;17
4196;nombre 4196;18;4
4197;nombre 4197;10;11
4198;nombre 4198;17;8
4199;nombre 4199;16;0
4200;nombre 4200;14;5
4201;nombre 4201;20;8
4202;nombre 4202;14;13
4203;nombre 4203;20;12
4204;nombre 4204;16;4
4205;nombre 4205;17;9
4206;nombre 4206;14;5
4207;nombre 4207;17;9
4208;nombre 4208;14;12
4209;nombre 4209;14;13
4210;nombre 4210;18;17
4211;nombre 4211;15;3
4212;nombre 4212;16;2
4213;nombre 4213;17;3
4214;nombre 4214;10;8
4215;nombre 4215;20;0
4216;nombre 4216;15;4
4217;nombre 4217;17;8
4218;nombre 4218;15;1
4219;nombre 4219;14;5
4220;nombre 4220;18;7
4221;nombre 4221;13;6
4222;nombre 4222;15;8
4223;nombre 4223;11;13
4224;nombre 4224;15;12
4225;nombre 4225;13;4
4226;nombre 4226;11;6
4227;nombre 4227;16;12
4228;nombre 4228;15;5
4229;nombre 4229;18;4
4230;nombre 4230;10;15
4231;nombre 4231;17;13
4232;nombre 4232;17;13
4233;nombre 4233;17;4
4234;nombre 4234;19;10
4235;nombre 4235;16;12
4236;nombre 4236;19;0
4237;nombre 4237;19;4
4238;nombre 4238;16;18
4239;nombre 4239;19;2
4240;nombre 4240;15;7
4241;nombre 4241;14;2
4242;nombre 4242;19;20
4243;nombre 4243;15;1
4244;nombre 4244;18;17
4245;nombre 4245;15;9
4246;nombre 4246;16;17
4247;nombre 4247;13;12
4248;nombre 4248;20;17
4249;nombre 4249;11;0
4250;nombre 4250;12;11
4251;nombre 4251;17;19
4252;nombre 4252;19;10
4253;nombre 4253;18;1
4254;nombre 4254;13;5
4255;nombre 4255;19;9
4256;nombre 4256;15;2
4257;nombre 4257;12;16
4258;nombre 4258;17;18
4259;nombre 4259;10;6
4260;nombre 4260;17;6
4261;nombre 4261;19;0
4262;nombre 4262;12;18
4263;nombre 4263;13;16
4264;nombre 4264;19;19
4265;nombre 4265;15;7
4266;nombre 4266;17;16
4267;nombre 4267;14;12
4268;nombre 4268;12;8
4269;nombre 4269;12;5
4270;nombre 4270;14;9
4271;nombre 4271;15;5
4272;nombre 4272;12;6
4273;nombre 4273;11;4
4274;nombre 4274;19;6
4275;nombre 4275;16;1
4276;nombre 4276;10;6
4277;nombre 4277;11;19
4278;nombre 4278;10;17
4279;nombre 4279;19;18
4280;nombre 4280;17;20
4281;nombre 4281;20;13
4282;nombre 4282;20;20
4283;nombre 4283;11;3
4284;nombre 4284;10;16
4285;nombre 4285;20;19
4286;nombre 4286;12;10
4287;nombre 4287;14;5
4288;nombre 4288;19;13
4289;nombre 4289;13;13
4290;nombre 4290;19;8
4291;nombre 4291;17;10
4292;nombre 4292;11;5
4293;nombre 4293;19;6
4294;nombre 4294;20;10
4295;nombre 4295;10;19
4296;nombre 4296;13;9
4297;nombre 4297;15;2
4298;nombre 4298;19;8
4299;nombre 4299;17;5
4300;nombre 4300;20;14
4301;nombre 4301;12;14
4302;nombre 4302;15;1
4303;nombre 4303;16;15
4304;nombre 4304;20;14
4305;nombre 4305;17;19
4306;nombre 4306;18;10
4307;nombre 4307;17;3
4308;nombre 4308;14;12
4309;nombre 4309;12;10
4310;nombre 4310;11;8
4311;nombre 4311;11;4
4312;nombre 4312;17;6
4313;nombre 4313;19;1
4314;nombre 4314;17;2
4315;nombre 4315;19;1
4316;nombre 4316;20;4
4317;nombre 4317;19;20
4318;nombre 4318;10;8
4319;nombre 4319;18;4
4320;nombre 4320;18;8
4321;nombre 4321;12;12
4322;nombre 4322;12;11
4323;nombre 4323;19;10
4324;nombre 4324;10;13
4325;nombre 4325;11;14
4326;nombre 4326;11;1
4327;nombre 4327;17;20
4328;nombre 4328;13;1
4329;nombre 4329;13;9
4330;nombre 4330;20;18
4331;nombre 4331;10;16
4332;nombre 4332;14;7
4333;nombre 4333;11;8
4334;nombre 4334;14;16
4335;nombre 4335;12;16
4336;nombre 4336;12;0
4337;nombre 4337;11;17
4338;nombre 4338;18;18
4339;nombre 4339;10;4
4340;nombre 4340;20;9
4341;nombre 4341;20;7
4342;nombre 4342;13;20
4343;nombre 4343;12;3
4344;nombre 4344;12;1
4345;nombre 4345;20;9
4346;nombre 4346;11;16
4347;nombre 4347;18;13
4348;nombre 4348;18;16
4349;nombre 4349;13;2
4350;nombre 4350;20;14
4351;nombre 4351;16;20
4352;nombre 4352;13;16
4353;nombre 4353;20;16
4354;nombre 4354;14;6
4355;nombre 4355;17;10
4356;nombre 4356;16;3
4357;nombre 4357;17;18
4358;nombre 4358;15;13
4359;nombre 4359;19;0
4360;nombre 4360;19;18
4361;nombre 4361;10;19
4362;nombre 4362;11;2
4363;nombre 4363;15;3
4364;nombre 4364;10;7
4365;nombre 4365;13;13
4366;nombre 4366;11;7
4367;nombre 4367;20;13
4368;nombre 4368;13;15
4369;nombre 4369;14;18
4370;nombre 4370;18;14
4371;nombre 4371;15;14
4372;nombre 4372;18;19
4373;nombre 4373;19;2
4374;nombre 4374;16;14
4375;nombre 4375;18;15
4376;nombre 4376;13;3
4377;nombre 4377;10;2
4378;nombre 4378;20;4
4379;nombre 4379;20;8
4380;nombre 4380;18;14
4381;nombre 4381;15;15
4382;nombre 4382;16;2
4383;nombre 4383;13;19
4384;nombre 4384;15;16
4385;nombre 4385;13;8
4386;nombre 4386;11;10
4387;nombre 4387;15;14
4388;nombre 4388;12;20
4389;nombre 4389;16;19
4390;nombre 4390;11;12
4391;nombre 4391;13;14
4392;nombre 4392;14;16
4393;nombre 4393;11;16
4394;nombre 4394;15;19
4395;nombre 4395;12;0
4396;nombre 4396;14;19
4397;nombre 4397;11;7
4398;nombre 4398;10;10
4399;nombre 4399;18;2
4400;nombre 4400;12;6
4401;nombre 4401;19;10
4402;nombre 4402;18;4
4403;nombre 4403;12;0
4404;nombre 4404;18;5
4405;nombre 4405;17;12
4406;nombre 4406;18;8
4407;nombre 4407;20;10
4408;nombre 4408;12;14
4409;nombre 4409;14;2
4410;nombre 4410;16;16
4411;nombre 4411;19;0
4412;nombre 4412;12;7
4413;nombre 4413;20;16
4414;nombre 4414;20;0
4415;nombre 4415;15;0
4416;nombre 4416;11;4
4417;nombre 4417;20;1
4418;nombre 4418;19;0
4419;nombre 4419;19;10
4420;nombre 4420;11;16
4421;nombre 4421;14;6
4422;nombre 4422;13;13
4423;nombre 4423;15;6
4424;nombre 4424;19;3
4425;nombre 4425;11;19
4426;nombre 4426;12;7
4427;nombre 4427;10;5
4428;nombre 4428;17;5
4429;nombre 4429;20;19
4430;nombre 4430;16;7
